sample-id	absolute-filepath
11402.MC001.fastq.gz	$PWD/seqs/11402.MC001.fastq.gz
11402.MC003.fastq.gz	$PWD/seqs/11402.MC003.fastq.gz
11402.MC004.fastq.gz	$PWD/seqs/11402.MC004.fastq.gz
11402.MC005.fastq.gz	$PWD/seqs/11402.MC005.fastq.gz
11402.MC006.fastq.gz	$PWD/seqs/11402.MC006.fastq.gz
11402.MC008.fastq.gz	$PWD/seqs/11402.MC008.fastq.gz
11402.MC009.fastq.gz	$PWD/seqs/11402.MC009.fastq.gz
11402.MC010.fastq.gz	$PWD/seqs/11402.MC010.fastq.gz
11402.MC011.fastq.gz	$PWD/seqs/11402.MC011.fastq.gz
11402.MC013.fastq.gz	$PWD/seqs/11402.MC013.fastq.gz
11402.MC014.fastq.gz	$PWD/seqs/11402.MC014.fastq.gz
11402.MC015.fastq.gz	$PWD/seqs/11402.MC015.fastq.gz
11402.MC016.fastq.gz	$PWD/seqs/11402.MC016.fastq.gz
11402.MC017.fastq.gz	$PWD/seqs/11402.MC017.fastq.gz
11402.MC018.fastq.gz	$PWD/seqs/11402.MC018.fastq.gz
11402.MC019.fastq.gz	$PWD/seqs/11402.MC019.fastq.gz
11402.MC020.fastq.gz	$PWD/seqs/11402.MC020.fastq.gz
11402.MC022.fastq.gz	$PWD/seqs/11402.MC022.fastq.gz
11402.MC023.fastq.gz	$PWD/seqs/11402.MC023.fastq.gz
11402.MC024.fastq.gz	$PWD/seqs/11402.MC024.fastq.gz
11402.MC028.fastq.gz	$PWD/seqs/11402.MC028.fastq.gz
11402.MC030.fastq.gz	$PWD/seqs/11402.MC030.fastq.gz
11402.MC031.fastq.gz	$PWD/seqs/11402.MC031.fastq.gz
11402.MC033.fastq.gz	$PWD/seqs/11402.MC033.fastq.gz
11402.MC035.fastq.gz	$PWD/seqs/11402.MC035.fastq.gz
11402.MC036.fastq.gz	$PWD/seqs/11402.MC036.fastq.gz
11402.MC037.fastq.gz	$PWD/seqs/11402.MC037.fastq.gz
11402.MC038.fastq.gz	$PWD/seqs/11402.MC038.fastq.gz
11402.MC039.fastq.gz	$PWD/seqs/11402.MC039.fastq.gz
11402.MC041.fastq.gz	$PWD/seqs/11402.MC041.fastq.gz
11402.MC042.fastq.gz	$PWD/seqs/11402.MC042.fastq.gz
11402.MC043.fastq.gz	$PWD/seqs/11402.MC043.fastq.gz
11402.MC044.fastq.gz	$PWD/seqs/11402.MC044.fastq.gz
11402.MC045.fastq.gz	$PWD/seqs/11402.MC045.fastq.gz
11402.MC046.fastq.gz	$PWD/seqs/11402.MC046.fastq.gz
11402.MC047.fastq.gz	$PWD/seqs/11402.MC047.fastq.gz
11402.MC049.fastq.gz	$PWD/seqs/11402.MC049.fastq.gz
11402.MC050.fastq.gz	$PWD/seqs/11402.MC050.fastq.gz
11402.MC051.fastq.gz	$PWD/seqs/11402.MC051.fastq.gz
11402.MC052.fastq.gz	$PWD/seqs/11402.MC052.fastq.gz
11402.MC053.fastq.gz	$PWD/seqs/11402.MC053.fastq.gz
11402.MC054.fastq.gz	$PWD/seqs/11402.MC054.fastq.gz
11402.MC055.fastq.gz	$PWD/seqs/11402.MC055.fastq.gz
11402.MC056.fastq.gz	$PWD/seqs/11402.MC056.fastq.gz
11402.MC057.fastq.gz	$PWD/seqs/11402.MC057.fastq.gz
11402.MC058.fastq.gz	$PWD/seqs/11402.MC058.fastq.gz
11402.MC059.fastq.gz	$PWD/seqs/11402.MC059.fastq.gz
11402.MC060.fastq.gz	$PWD/seqs/11402.MC060.fastq.gz
11402.MC061.fastq.gz	$PWD/seqs/11402.MC061.fastq.gz
11402.MC062.fastq.gz	$PWD/seqs/11402.MC062.fastq.gz
11402.MC063.fastq.gz	$PWD/seqs/11402.MC063.fastq.gz
11402.MC064.fastq.gz	$PWD/seqs/11402.MC064.fastq.gz
11402.MC065.fastq.gz	$PWD/seqs/11402.MC065.fastq.gz
11402.MC066.fastq.gz	$PWD/seqs/11402.MC066.fastq.gz
11402.MC067.fastq.gz	$PWD/seqs/11402.MC067.fastq.gz
11402.MC068.fastq.gz	$PWD/seqs/11402.MC068.fastq.gz
11402.MC069.fastq.gz	$PWD/seqs/11402.MC069.fastq.gz
11402.MC070.fastq.gz	$PWD/seqs/11402.MC070.fastq.gz
11402.MC071.fastq.gz	$PWD/seqs/11402.MC071.fastq.gz
11402.MC072.fastq.gz	$PWD/seqs/11402.MC072.fastq.gz
11402.MC073.fastq.gz	$PWD/seqs/11402.MC073.fastq.gz
11402.MC074.fastq.gz	$PWD/seqs/11402.MC074.fastq.gz
11402.MC075.fastq.gz	$PWD/seqs/11402.MC075.fastq.gz
11402.MC077.fastq.gz	$PWD/seqs/11402.MC077.fastq.gz
11402.MC078.fastq.gz	$PWD/seqs/11402.MC078.fastq.gz
11402.MC081.fastq.gz	$PWD/seqs/11402.MC081.fastq.gz
11402.MC082.fastq.gz	$PWD/seqs/11402.MC082.fastq.gz
11402.MC083.fastq.gz	$PWD/seqs/11402.MC083.fastq.gz
11402.MC084.fastq.gz	$PWD/seqs/11402.MC084.fastq.gz
11402.MC085.fastq.gz	$PWD/seqs/11402.MC085.fastq.gz
11402.MC086.fastq.gz	$PWD/seqs/11402.MC086.fastq.gz
11402.MC087.fastq.gz	$PWD/seqs/11402.MC087.fastq.gz
11402.MC088.fastq.gz	$PWD/seqs/11402.MC088.fastq.gz
11402.MC089.fastq.gz	$PWD/seqs/11402.MC089.fastq.gz
11402.MC090.fastq.gz	$PWD/seqs/11402.MC090.fastq.gz
11402.MC091.fastq.gz	$PWD/seqs/11402.MC091.fastq.gz
11402.MC092.fastq.gz	$PWD/seqs/11402.MC092.fastq.gz
11402.MC094.fastq.gz	$PWD/seqs/11402.MC094.fastq.gz
11402.MC095.fastq.gz	$PWD/seqs/11402.MC095.fastq.gz
11402.MC096.fastq.gz	$PWD/seqs/11402.MC096.fastq.gz
11402.MC097.fastq.gz	$PWD/seqs/11402.MC097.fastq.gz
11402.MC098.fastq.gz	$PWD/seqs/11402.MC098.fastq.gz
11402.MC099.fastq.gz	$PWD/seqs/11402.MC099.fastq.gz
11402.MC100.fastq.gz	$PWD/seqs/11402.MC100.fastq.gz
11402.MC101.fastq.gz	$PWD/seqs/11402.MC101.fastq.gz
11402.MC102.fastq.gz	$PWD/seqs/11402.MC102.fastq.gz
11402.MC104.fastq.gz	$PWD/seqs/11402.MC104.fastq.gz
11402.MC105.fastq.gz	$PWD/seqs/11402.MC105.fastq.gz
11402.MC106.fastq.gz	$PWD/seqs/11402.MC106.fastq.gz
11402.MC107.fastq.gz	$PWD/seqs/11402.MC107.fastq.gz
11402.MC108.fastq.gz	$PWD/seqs/11402.MC108.fastq.gz
11402.MC109.fastq.gz	$PWD/seqs/11402.MC109.fastq.gz
11402.MC110.fastq.gz	$PWD/seqs/11402.MC110.fastq.gz
11402.MC111.fastq.gz	$PWD/seqs/11402.MC111.fastq.gz
11402.MC112.fastq.gz	$PWD/seqs/11402.MC112.fastq.gz
11402.MC113.fastq.gz	$PWD/seqs/11402.MC113.fastq.gz
11402.MC115.fastq.gz	$PWD/seqs/11402.MC115.fastq.gz
11402.MC116.fastq.gz	$PWD/seqs/11402.MC116.fastq.gz
11402.MC118.fastq.gz	$PWD/seqs/11402.MC118.fastq.gz
11402.MC119.fastq.gz	$PWD/seqs/11402.MC119.fastq.gz
11402.MC120.fastq.gz	$PWD/seqs/11402.MC120.fastq.gz
11402.MC122.fastq.gz	$PWD/seqs/11402.MC122.fastq.gz
11402.MC123.fastq.gz	$PWD/seqs/11402.MC123.fastq.gz
11402.MC124.fastq.gz	$PWD/seqs/11402.MC124.fastq.gz
11402.MC125.fastq.gz	$PWD/seqs/11402.MC125.fastq.gz
11402.MC126.fastq.gz	$PWD/seqs/11402.MC126.fastq.gz
11402.MC128.fastq.gz	$PWD/seqs/11402.MC128.fastq.gz
11402.MC129.fastq.gz	$PWD/seqs/11402.MC129.fastq.gz
11402.MC132.fastq.gz	$PWD/seqs/11402.MC132.fastq.gz
11402.MC133.fastq.gz	$PWD/seqs/11402.MC133.fastq.gz
11402.MC134.fastq.gz	$PWD/seqs/11402.MC134.fastq.gz
11402.MC135.fastq.gz	$PWD/seqs/11402.MC135.fastq.gz
11402.MC137.fastq.gz	$PWD/seqs/11402.MC137.fastq.gz
