"ASV" "s.non-stunted_anemic" "s.non-stunted_healthy" "s.stunted_anemic" "s.stunted_healthy" "index" "stat" "p.value" "Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"1" "6053cab65fe152b51820dfd029e3edeb" 1 1 0 0 5 0.239426065340287 0.63 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Christensenellales" "f__Christensenellaceae" NA NA
"2" "3134c980365d250928d8a0d9166c38fc" 0 0 1 0 3 0.21320071635561 0.185 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Christensenellales" "f__Christensenellaceae" "g__Christensenella" "s__Christensenella_minuta"
"3" "04edaa963304c466674c30f9f9bb087e" 0 0 0 1 4 0.30087900386788 0.145 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcaceae" "g__Paeniclostridium" NA
"4" "99bccd58aaeb00f98e22add40be6e36b" 1 1 1 1 15 0.41478067789217 NA "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcaceae" "g__Clostridioides" "s__Clostridioides_difficile"
"5" "6420671c26eef32065e0275c8cd6701e" 1 1 1 1 15 0.523634938088643 NA "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcaceae" "g__Intestinibacter" NA
"6" "e335f74033bc634af43ee6baa84fa247" 0 0 0 1 4 0.364476660555041 0.045 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcaceae" "g__Romboutsia" NA
"7" "8d703908c09c7cb0da2a4398dd74f9f8" 0 0 1 0 3 0.28120236731305 0.05 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcaceae" "g__Terrisporobacter" "s__uncultured_bacterium"
"8" "807ab4dce101a0cca3e66c559d190b9a" 0 1 0 0 2 0.117041147196131 0.525 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcaceae" "g__Peptoclostridium" NA
"9" "f864ed2c52dd0ee16ed932d4c4c166de" 1 1 0 0 5 0.387170527186709 0.33 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcaceae" "g__Peptostreptococcus" "s__uncultured_bacterium"
"10" "b4f28264f150902936030ef29ce2a10a" 1 1 1 0 11 0.197752737658412 1 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Anaerovoracaceae" "g__[Eubacterium]_brachy_group" "s__uncultured_bacterium"
"11" "74d519816d4cfb9cf4ec9605f76301d6" 0 0 0 1 4 0.505665886107558 0.005 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Anaerovoracaceae" "g__Family_XIII_UCG-001" "s__uncultured_bacterium"
"12" "9b6acfb0708fe91f75081d6801659932" 0 0 0 1 4 0.458188483802695 0.035 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Anaerovoracaceae" "g__Family_XIII_AD3011_group" "s__uncultured_organism"
"13" "193a9b0f1319465a14a82adbeb7436d6" 0 1 0 0 2 0.117041147196131 0.545 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Anaerovoracaceae" NA NA
"14" "5cb0182033909c6dea7fc6cb598436a5" 0 1 1 0 8 0.228102263621489 0.745 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Anaerovoracaceae" "g__Mogibacterium" "s__Mobilibacterium_timonense"
"15" "5b7ee395be95a764141c6f3ba209047f" 0 0 0 1 4 0.166282198642108 0.19 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Anaerovoracaceae" "g__[Eubacterium]_nodatum_group" "s__uncultured_bacterium"
"16" "22b3c70cdfb1714224e1bf8a6314bee9" 1 1 0 0 5 0.211153942092367 0.76 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcales-Tissierellales" "g__Finegoldia" "s__uncultured_bacterium"
"17" "ff48ea2b9d30c737b53aeb9841179d57" 1 0 0 0 1 0.109108945117996 1 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcales-Tissierellales" "g__Parvimonas" NA
"18" "9ee9d7f1e7a96963f1ee2668f858fced" 0 0 0 1 4 0.466924956372035 0.015 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcales-Tissierellales" "g__Anaerococcus" NA
"19" "b2574632cd105083065793a728d40c81" 1 1 1 0 11 0.183083459309206 1 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcales-Tissierellales" "g__Peptoniphilus" NA
"20" "5b339628ad60c6505bab4519e999f393" 0 0 1 0 3 0.18689095661661 0.325 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcales-Tissierellales" "g__Fenollaria" "s__uncultured_bacterium"
"21" "27b05a15d16695f6bbf9a7847e19ef79" 1 1 0 0 5 0.11286652959662 1 "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Eubacteriales" "f__Anaerofustaceae" "g__Anaerofustis" "s__Anaerofustis_sp."
